GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Mutation_Score
Apache Commons Codec,org.apache.commons.codec.language,MatchRatingApproachEncoder,0,649,0,76,0,114,0,51,0,13,95
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic,0,491,1,69,0,78,1,43,0,8,92
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex,0,9,0,0,0,2,0,2,0,2,28
Apache Commons Codec,org.apache.commons.codec.language,DoubleMetaphone,39,3085,39,399,7,409,37,232,0,39,90
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex,4,119,3,17,2,28,3,14,0,7,28
Apache Commons Codec,org.apache.commons.codec.language,Soundex,8,269,2,32,3,56,4,26,2,11,76
Apache Commons Codec,org.apache.commons.codec.language,AbstractCaverphone,0,24,0,2,0,6,0,4,0,3,67
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex,81,540,13,75,7,124,13,41,0,10,28
Apache Commons Codec,org.apache.commons.codec.language,Nysiis,0,464,0,74,0,86,0,46,0,9,95
Apache Commons Codec,org.apache.commons.codec.language,RefinedSoundex,0,125,1,13,0,36,1,15,0,9,89
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic,0,44,0,0,0,11,0,4,0,4,92
Apache Commons Codec,org.apache.commons.codec.language,Metaphone,4,713,14,146,2,166,14,87,0,12,91
Apache Commons Codec,org.apache.commons.codec.language,SoundexUtils,0,92,0,18,0,21,0,13,0,4,100
Apache Commons Codec,org.apache.commons.codec.language,Caverphone,38,0,2,0,9,0,6,0,5,0,0
Apache Commons Codec,org.apache.commons.codec.language,DoubleMetaphone,0,153,0,12,0,37,0,18,0,12,90
Apache Commons Codec,org.apache.commons.codec.language,Caverphone2,0,316,0,4,0,64,0,4,0,2,75
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic,19,32,0,0,3,8,1,4,1,4,92
Apache Commons Codec,org.apache.commons.codec.language,Caverphone1,0,301,0,4,0,61,0,4,0,2,75
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex,28,77,0,16,2,16,1,13,1,5,28
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic,0,52,0,8,0,12,0,7,0,3,92
Apache Commons Codec,org.apache.commons.codec.cli,Digest,279,0,32,0,53,0,26,0,10,0,0
Apache Commons Codec,org.apache.commons.codec.digest,HmacUtils,59,415,0,6,18,77,7,54,7,51,76
Apache Commons Codec,org.apache.commons.codec.digest,Sha2Crypt,27,800,4,38,4,130,4,26,0,9,89
Apache Commons Codec,org.apache.commons.codec.digest,MurmurHash3,0,54,0,4,0,13,0,5,0,2,100
Apache Commons Codec,org.apache.commons.codec.digest,PureJavaCrc32C,137,8364,7,3,9,26,8,6,1,5,46
Apache Commons Codec,org.apache.commons.codec.digest,UnixCrypt,6,5949,1,27,1,150,2,26,1,13,97
Apache Commons Codec,org.apache.commons.codec.digest,MessageDigestAlgorithms,0,55,0,0,0,1,0,1,0,1,100
Apache Commons Codec,org.apache.commons.codec.digest,HmacAlgorithms,0,84,0,0,0,12,0,4,0,4,50
Apache Commons Codec,org.apache.commons.codec.digest,DigestUtils,15,564,0,6,6,143,4,123,4,120,93
Apache Commons Codec,org.apache.commons.codec.digest,MurmurHash3,13,277,1,17,1,52,1,16,0,6,100
Apache Commons Codec,org.apache.commons.codec.digest,MurmurHash2,0,437,0,16,0,54,0,22,0,10,100
Apache Commons Codec,org.apache.commons.codec.digest,MurmurHash3,0,1215,0,40,0,202,0,60,0,28,100
Apache Commons Codec,org.apache.commons.codec.digest,PureJavaCrc32,0,8509,0,10,0,27,0,15,0,7,99
Apache Commons Codec,org.apache.commons.codec.digest,XXHash32,0,433,0,16,0,79,0,17,0,9,95
Apache Commons Codec,org.apache.commons.codec.digest,Crypt,0,50,0,8,0,13,0,9,0,5,100
Apache Commons Codec,org.apache.commons.codec.digest,Md5Crypt,0,375,0,26,0,69,0,24,0,11,89
Apache Commons Codec,org.apache.commons.codec.digest,B64,0,72,0,4,0,13,0,7,0,5,100
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodec,59,3,0,0,3,2,1,1,1,1,86
Apache Commons Codec,org.apache.commons.codec.binary,StringUtils,0,163,0,24,0,39,0,33,0,21,97
Apache Commons Codec,org.apache.commons.codec.binary,Base32OutputStream,0,24,0,0,0,6,0,3,0,3,#N/A
Apache Commons Codec,org.apache.commons.codec.binary,Base32,71,2625,11,66,8,167,12,44,1,12,92
Apache Commons Codec,org.apache.commons.codec.binary,Hex,0,485,0,26,0,76,0,40,0,27,100
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodecOutputStream,0,153,1,19,0,39,1,16,0,7,77
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodecInputStream,14,192,1,31,3,43,3,21,2,6,84
Apache Commons Codec,org.apache.commons.codec.binary,CharSequenceUtils,26,35,6,8,6,12,5,4,1,1,73
Apache Commons Codec,org.apache.commons.codec.binary,Base64InputStream,0,24,0,0,0,6,0,3,0,3,#N/A
Apache Commons Codec,org.apache.commons.codec.binary,BinaryCodec,0,335,0,50,0,57,0,38,0,13,100
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodec,4,462,5,63,2,92,5,52,0,23,86
Apache Commons Codec,org.apache.commons.codec.binary,Base64OutputStream,0,24,0,0,0,6,0,3,0,3,#N/A
Apache Commons Codec,org.apache.commons.codec.binary,Base64,30,1924,7,95,4,149,8,73,1,27,91
Apache Commons Codec,org.apache.commons.codec.binary,Base32InputStream,0,24,0,0,0,6,0,3,0,3,#N/A
Apache Commons Codec,org.apache.commons.codec,Resources,3,21,0,2,1,4,1,2,1,1,100
Apache Commons Codec,org.apache.commons.codec,DecoderException,0,16,0,0,0,8,0,4,0,4,#N/A
Apache Commons Codec,org.apache.commons.codec,StringEncoderComparator,6,30,0,0,3,11,1,2,1,2,0
Apache Commons Codec,org.apache.commons.codec,CharEncoding,0,3,0,0,0,1,0,1,0,1,
Apache Commons Codec,org.apache.commons.codec,EncoderException,0,16,0,0,0,8,0,4,0,4,
Apache Commons Codec,org.apache.commons.codec,Charsets,5,24,1,3,1,8,2,4,1,3,
Apache Commons Codec,org.apache.commons.codec.net,QuotedPrintableCodec,13,512,2,80,4,119,4,62,2,23,
Apache Commons Codec,org.apache.commons.codec.net,PercentCodec,0,432,0,72,0,88,0,51,0,15,
Apache Commons Codec,org.apache.commons.codec.net,BCodec,19,127,2,18,5,39,3,21,1,13,
Apache Commons Codec,org.apache.commons.codec.net,QCodec,27,335,2,40,7,97,3,35,1,16,
Apache Commons Codec,org.apache.commons.codec.net,Utils,0,32,0,2,0,6,0,4,0,3,
Apache Commons Codec,org.apache.commons.codec.net,URLCodec,3,340,0,46,1,87,1,37,1,14,
Apache Commons Codec,org.apache.commons.codec.net,RFC1522Codec,8,169,2,16,2,38,2,11,0,4,
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages,7,126,2,14,3,27,3,14,1,8,
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages,15,5,0,0,6,2,6,2,6,2,
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages,5,15,0,0,1,7,1,7,1,7,
Apache Commons Codec,org.apache.commons.codec.language.bm,RuleType,0,48,0,0,0,8,0,3,0,3,
Apache Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine,0,100,0,8,0,27,0,9,0,5,
Apache Commons Codec,org.apache.commons.codec.language.bm,NameType,0,48,0,0,0,8,0,3,0,3,
Apache Commons Codec,org.apache.commons.codec.language.bm,Lang,0,18,0,0,0,6,0,2,0,2,
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages,0,14,0,2,0,2,0,3,0,2,
Apache Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine,0,146,1,15,0,35,1,14,0,7,
Apache Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine,43,654,5,37,7,105,5,29,1,11,
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,0,19,0,0,0,4,0,2,0,2,
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,37,69,0,0,3,17,2,9,2,9,
Apache Commons Codec,org.apache.commons.codec.language.bm,BeiderMorseEncoder,0,109,0,4,0,28,0,12,0,10,
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,0,9,0,0,0,4,0,2,0,2,
Apache Commons Codec,org.apache.commons.codec.language.bm,ResourceConstants,3,0,0,0,1,0,1,0,1,0,
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,0,44,0,8,0,10,0,6,0,2,
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,0,28,0,4,0,3,0,4,0,2,
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages,0,113,0,12,0,25,0,12,0,6,
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,0,11,0,0,0,2,0,2,0,2,
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,0,11,0,0,0,2,0,2,0,2,
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,0,25,0,4,0,2,0,4,0,2,
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,0,26,0,4,0,2,0,4,0,2,
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,58,30,0,0,9,3,1,1,1,1,
Apache Commons Codec,org.apache.commons.codec.language.bm,Lang,30,206,3,23,3,44,3,16,1,5,
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,0,5,0,0,0,2,0,2,0,2,
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,0,11,0,0,0,2,0,2,0,2,
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,0,10,0,2,0,2,0,3,0,2,
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,130,809,11,105,17,162,14,66,4,18,
