,Project,Version,Post Release DD,Statement Cov. Calculation,Statement Cov.
1,Apache Commons Codec,1.1,0.746909661,0.955005325,95.50%
,,1.11,0.202654778,0.933701657,93.37%
,,1.12,0.033153201,0.936389149,93.64%
,,1.13,0.193479733,0.939698492,93.97%
,,1.14,0.093469591,0.950555435,95.06%
,,,,,
2,Apache Commons Collections,4,1.335643636,0.908809684,90.88%
,,4.1,0.477202057,0.872260066,87.23%
,,4.2,0.239134334,0.890450401,89.05%
,,4.3,0.029824483,0.890662465,89.07%
,,4.4,0.132645542,0.891456535,89.15%
,,,,,
3,Apache Commons Configuration,2.3,0.146945788,0.903650321,90.37%
,,2.4,0.067528784,0.903944712,90.39%
,,2.5,0.033694614,0.903899721,90.39%
,,2.6,0.100818873,0.903917622,90.39%
,,2.7,0.011267733,0.904341769,90.43%
,,,,,
4,Apache Maven Doxia,1.6,0.250115438,N/A*,N/A*
,,1.7,0.416501013,0.843210147,84.32%
,,1.8,0.378214826,0.842686843,84.27%
,,1.9,0.206387699,0.841210756,84.12%
,,1.9.1,0.017140017,0.840963619,84.10%
,,,,,
,*We couldn't run maven for Apache Maven Doxia version 1.6,,,,
