,Project,Version,Defects,LOC,KLOC,Post Release DD,Total Churn
1,Apache Commons Codec,1.10,20,26777,26.777,0.746909661,16342
,,1.11,6,29607,29.607,0.202654778,11564
,,1.12,1,30163,30.163,0.033153201,9361
,,1.13,6,31011,31.011,0.193479733,6930
,,1.14,3,32096,32.096,0.093469591,343
,,,,,,,
2,Apache Commons Collections,4.0,74,55404,55.404,1.335643636,54686
,,4.1,31,64962,64.962,0.477202057,37326
,,4.2,16,66908,66.908,0.239134334,27138
,,4.3,2,67059,67.059,0.029824483,8456
,,4.4,9,67850,67.85,0.132645542,23091
,,,,,,,
3,Apache Commons Configuration,2.3,13,88468,88.468,0.146945788,29787
,,2.4,6,88851,88.851,0.067528784,11462
,,2.5,3,89035,89.035,0.033694614,8199
,,2.6,9,89269,89.269,0.100818873,8098
,,2.7,1,88749,88.749,0.011267733,18
,,,,,,,
4,Apache Maven Doxia,1.6,13,51976,51.976,0.250115438,30109
,,1.7,22,52821,52.821,0.416501013,26645
,,1.8,19,50236,50.236,0.378214826,20469
,,1.9,12,58143,58.143,0.206387699,5379
,,1.9.1,1,58343,58.343,0.017140017,87
