,Project,Version,Commit,File Changed,Contributors,Added Line,Deleted line,Total Churn,LOC,KLOC
,All Compare with Master,1.1,554,166,15,12976,3366,16342,26777,26.777
1,Apache Commons Codec,1.11,284,150,15,8523,3041,11564,29607,29.607
,,1.12,188,148,13,6844,2517,9361,30163,30.163
,,1.13,118,96,7,4941,1989,6930,31011,31.011
,,1.14,10,20,3,287,56,343,32096,32.096
,,,,,,,,,,
2,Apache Commons Collections,4,708,662,22,43535,11151,54686,55404,55.404
,,4.1,497,631,22,26235,11091,37326,64962,64.962
,,4.2,321,506,22,19963,7175,27138,66908,66.908
,,4.3,281,505,22,1906,6550,8456,67059,67.059
,,4.4,,,,,,,67850,67.85
,,,,,,,,,,
3,Apache Commons Configuration,2.3,265,547,12,15648,14139,29787,88468,88.468
,,2.4,172,521,11,6051,5411,11462,88851,88.851
,,2.5,123,252,9,4452,3747,8199,89035,89.035
,,2.6,53,72,5,4190,3908,8098,89269,89.269
,,2.7,3,2,2,12,6,18,88749,88.749
,,,,,,,,,,
4,Apache Maven Doxia,1.6,163,397,17,19877,10232,30109,51976,51.976
,,1.7,104,371,16,18065,8580,26645,52821,52.821
,,1.8,70,359,15,17196,3273,20469,50236,50.236
,,1.9,24,336,6,3377,2002,5379,58143,58.143
,,1.9.1,2,21,2,49,38,87,58343,58.343
